studyName,Sample Number,Species,Region,Island,Stage,Individual ID,Clutch Completion,Date Egg,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Sex,Delta 15 N (o/oo),Delta 13 C (o/oo),Comments
PAL0708,28,Adelie Penguin,Anvers,Biscoe,"Adult, 1 Egg Stage",N17A2,Yes,11/12/07,40.5,17.9,187.0,3200.0,FEMALE,8.081380000000001,-25.49448,
PAL0708,29,Adelie Penguin,Anvers,Biscoe,"Adult, 1 Egg Stage",N18A1,No,11/10/07,37.9,18.6,172.0,3150.0,FEMALE,8.384039999999999,-25.19837,Nest never observed with full clutch.
PAL0708,30,Adelie Penguin,Anvers,Biscoe,"Adult, 1 Egg Stage",N18A2,No,11/10/07,40.5,18.9,180.0,3950.0,MALE,8.900269999999999,-25.11609,Nest never observed with full clutch.
PAL0708,31,Adelie Penguin,Anvers,Dream,"Adult, 1 Egg Stage",N21A1,Yes,11/9/07,39.5,16.7,178.0,3250.0,FEMALE,9.697560000000001,-25.11223,
PAL0708,32,Adelie Penguin,Anvers,Dream,"Adult, 1 Egg Stage",N21A2,Yes,11/9/07,37.2,18.1,178.0,3900.0,MALE,9.72764,-25.0102,
PAL0708,33,Adelie Penguin,Anvers,Dream,"Adult, 1 Egg Stage",N22A1,Yes,11/9/07,39.5,17.8,188.0,3300.0,FEMALE,9.665230000000001,-25.0602,
PAL0708,34,Adelie Penguin,Anvers,Dream,"Adult, 1 Egg Stage",N22A2,Yes,11/9/07,40.9,18.9,184.0,3900.0,MALE,8.79665,-25.14591,
PAL0708,35,Adelie Penguin,Anvers,Dream,"Adult, 1 Egg Stage",N23A1,Yes,11/16/07,36.4,17.0,195.0,3325.0,FEMALE,9.178469999999999,-25.230610000000002,
PAL0708,36,Adelie Penguin,Anvers,Dream,"Adult, 1 Egg Stage",N23A2,Yes,11/16/07,39.2,21.1,196.0,4150.0,MALE,9.153080000000001,-25.034689999999998,
PAL0708,37,Adelie Penguin,Anvers,Dream,"Adult, 1 Egg Stage",N24A1,Yes,11/16/07,38.8,20.0,190.0,3950.0,MALE,9.18985,-25.12255,
PAL0708,38,Adelie Penguin,Anvers,Dream,"Adult, 1 Egg Stage",N24A2,Yes,11/16/07,42.2,18.5,180.0,3550.0,FEMALE,8.04787,-25.49523,
PAL0708,39,Adelie Penguin,Anvers,Dream,"Adult, 1 Egg Stage",N25A1,No,11/13/07,37.6,19.3,181.0,3300.0,FEMALE,9.41131,-25.04169,Nest never observed with full clutch.
PAL0708,40,Adelie Penguin,Anvers,Dream,"Adult, 1 Egg Stage",N25A2,No,11/13/07,39.8,19.1,184.0,4650.0,MALE,,,Nest never observed with full clutch. Not enough blood for isotopes.
PAL0708,41,Adelie Penguin,Anvers,Dream,"Adult, 1 Egg Stage",N26A1,Yes,11/16/07,36.5,18.0,182.0,3150.0,FEMALE,9.68933,-24.4228,
PAL0708,42,Adelie Penguin,Anvers,Dream,"Adult, 1 Egg Stage",N26A2,Yes,11/16/07,40.8,18.4,195.0,3900.0,MALE,,,Not enough blood for isotopes.
PAL0708,43,Adelie Penguin,Anvers,Dream,"Adult, 1 Egg Stage",N27A1,Yes,11/19/07,36.0,18.5,186.0,3100.0,FEMALE,9.507719999999999,-25.03492,
PAL0708,44,Adelie Penguin,Anvers,Dream,"Adult, 1 Egg Stage",N27A2,Yes,11/19/07,44.1,19.7,196.0,4400.0,MALE,9.2372,-24.52698,
PAL0708,45,Adelie Penguin,Anvers,Dream,"Adult, 1 Egg Stage",N28A1,Yes,11/16/07,37.0,16.9,185.0,3000.0,FEMALE,9.36392,-25.01745,
PAL0708,46,Adelie Penguin,Anvers,Dream,"Adult, 1 Egg Stage",N28A2,Yes,11/16/07,39.6,18.8,190.0,4600.0,MALE,9.491060000000001,-24.10255,
PAL0708,47,Adelie Penguin,Anvers,Dream,"Adult, 1 Egg Stage",N29A1,Yes,11/13/07,41.1,19.0,182.0,3425.0,MALE,,,Not enough blood for isotopes.
PAL0708,49,Adelie Penguin,Anvers,Dream,"Adult, 1 Egg Stage",N30A1,Yes,11/13/07,36.0,17.9,190.0,3450.0,FEMALE,9.51784,-25.076829999999998,
PAL0708,50,Adelie Penguin,Anvers,Dream,"Adult, 1 Egg Stage",N30A2,Yes,11/13/07,42.3,21.2,191.0,4150.0,MALE,8.87988,-25.18543,
PAL0809,51,Adelie Penguin,Anvers,Biscoe,"Adult, 1 Egg Stage",N21A1,Yes,11/6/08,39.6,17.7,186.0,3500.0,FEMALE,8.46616,-26.12989,
PAL0809,52,Adelie Penguin,Anvers,Biscoe,"Adult, 1 Egg Stage",N21A2,Yes,11/6/08,40.1,18.9,188.0,4300.0,MALE,8.51362,-26.55602,
PAL0809,53,Adelie Penguin,Anvers,Biscoe,"Adult, 1 Egg Stage",N22A1,Yes,11/9/08,35.0,17.9,190.0,3450.0,FEMALE,8.19539,-26.17213,
PAL0809,54,Adelie Penguin,Anvers,Biscoe,"Adult, 1 Egg Stage",N22A2,Yes,11/9/08,42.0,19.5,200.0,4050.0,MALE,8.48095,-26.3146,
PAL0809,55,Adelie Penguin,Anvers,Biscoe,"Adult, 1 Egg Stage",N23A1,Yes,11/9/08,34.5,18.1,187.0,2900.0,FEMALE,8.41837,-26.547179999999997,
PAL0809,56,Adelie Penguin,Anvers,Biscoe,"Adult, 1 Egg Stage",N23A2,Yes,11/9/08,41.4,18.6,191.0,3700.0,MALE,8.35396,-26.27853,
PAL0809,57,Adelie Penguin,Anvers,Biscoe,"Adult, 1 Egg Stage",N24A1,Yes,11/15/08,39.0,17.5,186.0,3550.0,FEMALE,8.57199,-26.07188,
PAL0809,58,Adelie Penguin,Anvers,Biscoe,"Adult, 1 Egg Stage",N24A2,Yes,11/15/08,40.6,18.8,193.0,3800.0,MALE,8.56674,-25.988429999999997,
PAL0809,59,Adelie Penguin,Anvers,Biscoe,"Adult, 1 Egg Stage",N25A1,Yes,11/15/08,36.5,16.6,181.0,2850.0,FEMALE,9.07878,-25.88156,
PAL0809,60,Adelie Penguin,Anvers,Biscoe,"Adult, 1 Egg Stage",N25A2,Yes,11/15/08,37.6,19.1,194.0,3750.0,MALE,9.107999999999999,-25.89677,
PAL0809,61,Adelie Penguin,Anvers,Biscoe,"Adult, 1 Egg Stage",N27A1,Yes,11/13/08,35.7,16.9,185.0,3150.0,FEMALE,8.96472,-26.40943,
PAL0809,62,Adelie Penguin,Anvers,Biscoe,"Adult, 1 Egg Stage",N27A2,Yes,11/13/08,41.3,21.1,195.0,4400.0,MALE,8.74802,-26.378090000000004,
PAL0809,63,Adelie Penguin,Anvers,Biscoe,"Adult, 1 Egg Stage",N28A1,Yes,11/13/08,37.6,17.0,185.0,3600.0,FEMALE,8.580630000000001,-26.215690000000002,
PAL0809,64,Adelie Penguin,Anvers,Biscoe,"Adult, 1 Egg Stage",N28A2,Yes,11/13/08,41.1,18.2,192.0,4050.0,MALE,8.622639999999999,-26.60023,
PAL0809,65,Adelie Penguin,Anvers,Biscoe,"Adult, 1 Egg Stage",N29A1,Yes,11/13/08,36.4,17.1,184.0,2850.0,FEMALE,8.62623,-26.1165,
PAL0809,66,Adelie Penguin,Anvers,Biscoe,"Adult, 1 Egg Stage",N29A2,Yes,11/13/08,41.6,18.0,192.0,3950.0,MALE,8.85562,-26.09294,
PAL0809,67,Adelie Penguin,Anvers,Biscoe,"Adult, 1 Egg Stage",N30A1,Yes,11/6/08,35.5,16.2,195.0,3350.0,FEMALE,8.561919999999999,-25.95541,
PAL0809,68,Adelie Penguin,Anvers,Biscoe,"Adult, 1 Egg Stage",N30A2,Yes,11/6/08,41.1,19.1,188.0,4100.0,MALE,8.71078,-25.81012,
PAL0809,69,Adelie Penguin,Anvers,Torgersen,"Adult, 1 Egg Stage",N32A1,No,11/11/08,35.9,16.6,190.0,3050.0,FEMALE,8.47781,-26.078210000000002,Nest never observed with full clutch.
PAL0809,70,Adelie Penguin,Anvers,Torgersen,"Adult, 1 Egg Stage",N32A2,No,11/11/08,41.8,19.4,198.0,4450.0,MALE,8.86853,-26.062089999999998,Nest never observed with full clutch.
PAL0809,71,Adelie Penguin,Anvers,Torgersen,"Adult, 1 Egg Stage",N34A1,Yes,11/14/08,33.5,19.0,190.0,3600.0,FEMALE,7.88863,-26.63085,
PAL0809,72,Adelie Penguin,Anvers,Torgersen,"Adult, 1 Egg Stage",N34A2,Yes,11/14/08,39.7,18.4,190.0,3900.0,MALE,9.29808,-25.23453,
PAL0809,73,Adelie Penguin,Anvers,Torgersen,"Adult, 1 Egg Stage",N35A1,Yes,11/11/08,39.6,17.2,196.0,3550.0,FEMALE,8.335239999999999,-26.55351,
PAL0809,74,Adelie Penguin,Anvers,Torgersen,"Adult, 1 Egg Stage",N35A2,Yes,11/11/08,45.8,18.9,197.0,4150.0,MALE,8.186580000000001,-26.45978,
PAL0809,75,Adelie Penguin,Anvers,Torgersen,"Adult, 1 Egg Stage",N36A1,Yes,11/8/08,35.5,17.5,190.0,3700.0,FEMALE,8.70642,-26.150029999999997,
PAL0809,76,Adelie Penguin,Anvers,Torgersen,"Adult, 1 Egg Stage",N36A2,Yes,11/8/08,42.8,18.5,195.0,4250.0,MALE,8.2993,-26.38986,
PAL0809,77,Adelie Penguin,Anvers,Torgersen,"Adult, 1 Egg Stage",N37A1,Yes,11/6/08,40.9,16.8,191.0,3700.0,FEMALE,8.47257,-26.020020000000002,
PAL0809,78,Adelie Penguin,Anvers,Torgersen,"Adult, 1 Egg Stage",N37A2,Yes,11/6/08,37.2,19.4,184.0,3900.0,MALE,8.3554,-26.44787,
PAL0809,79,Adelie Penguin,Anvers,Torgersen,"Adult, 1 Egg Stage",N38A1,Yes,11/9/08,36.2,16.1,187.0,3550.0,FEMALE,7.823810000000001,-26.513820000000003,
PAL0809,80,Adelie Penguin,Anvers,Torgersen,"Adult, 1 Egg Stage",N38A2,Yes,11/9/08,42.1,19.1,195.0,4000.0,MALE,9.057360000000001,-25.81513,
PAL0809,81,Adelie Penguin,Anvers,Torgersen,"Adult, 1 Egg Stage",N39A1,Yes,11/2/08,34.6,17.2,189.0,3200.0,FEMALE,7.697780000000001,-26.5387,
PAL0809,82,Adelie Penguin,Anvers,Torgersen,"Adult, 1 Egg Stage",N39A2,Yes,11/2/08,42.9,17.6,196.0,4700.0,MALE,8.632589999999999,-26.23027,
PAL0809,83,Adelie Penguin,Anvers,Torgersen,"Adult, 1 Egg Stage",N40A1,Yes,11/7/08,36.7,18.8,187.0,3800.0,FEMALE,7.884939999999999,-26.24837,
PAL0809,84,Adelie Penguin,Anvers,Torgersen,"Adult, 1 Egg Stage",N40A2,Yes,11/7/08,35.1,19.4,193.0,4200.0,MALE,8.90002,-26.46254,
PAL0809,85,Adelie Penguin,Anvers,Dream,"Adult, 1 Egg Stage",N41A1,Yes,11/17/08,37.3,17.8,191.0,3350.0,FEMALE,8.32718,-26.38396,
PAL0809,86,Adelie Penguin,Anvers,Dream,"Adult, 1 Egg Stage",N41A2,Yes,11/17/08,41.3,20.3,194.0,3550.0,MALE,9.14863,-26.09635,
PAL0809,87,Adelie Penguin,Anvers,Dream,"Adult, 1 Egg Stage",N42A1,Yes,11/8/08,36.3,19.5,190.0,3800.0,MALE,8.57087,-26.22227,
PAL0809,88,Adelie Penguin,Anvers,Dream,"Adult, 1 Egg Stage",N42A2,Yes,11/8/08,36.9,18.6,189.0,3500.0,FEMALE,8.59147,-26.08165,
PAL0809,89,Adelie Penguin,Anvers,Dream,"Adult, 1 Egg Stage",N44A1,Yes,11/8/08,38.3,19.2,189.0,3950.0,MALE,9.07826,-26.12417,
PAL0809,90,Adelie Penguin,Anvers,Dream,"Adult, 1 Egg Stage",N44A2,Yes,11/8/08,38.9,18.8,190.0,3600.0,FEMALE,8.36936,-26.11199,
PAL0809,91,Adelie Penguin,Anvers,Dream,"Adult, 1 Egg Stage",N45A1,Yes,11/14/08,35.7,18.0,202.0,3550.0,FEMALE,8.46531,-26.05621,
PAL0809,92,Adelie Penguin,Anvers,Dream,"Adult, 1 Egg Stage",N45A2,Yes,11/14/08,41.1,18.1,205.0,4300.0,MALE,8.77018,-25.83352,
PAL0809,93,Adelie Penguin,Anvers,Dream,"Adult, 1 Egg Stage",N46A1,Yes,11/5/08,34.0,17.1,185.0,3400.0,FEMALE,8.01485,-26.695429999999998,
PAL0809,94,Adelie Penguin,Anvers,Dream,"Adult, 1 Egg Stage",N46A2,Yes,11/5/08,39.6,18.1,186.0,4450.0,MALE,8.49915,-26.424059999999997,
PAL0809,95,Adelie Penguin,Anvers,Dream,"Adult, 1 Egg Stage",N48A1,Yes,11/17/08,36.2,17.3,187.0,3300.0,FEMALE,8.90723,-26.30037,
PAL0809,96,Adelie Penguin,Anvers,Dream,"Adult, 1 Egg Stage",N48A2,Yes,11/17/08,40.8,18.9,208.0,4300.0,MALE,8.48204,-26.57941,
PAL0809,97,Adelie Penguin,Anvers,Dream,"Adult, 1 Egg Stage",N49A1,Yes,11/8/08,38.1,18.6,190.0,3700.0,FEMALE,8.10277,-26.50086,
PAL0809,98,Adelie Penguin,Anvers,Dream,"Adult, 1 Egg Stage",N49A2,Yes,11/8/08,40.3,18.5,196.0,4350.0,MALE,8.394589999999999,-26.01152,
PAL0809,99,Adelie Penguin,Anvers,Dream,"Adult, 1 Egg Stage",N50A1,Yes,11/10/08,33.1,16.1,178.0,2900.0,FEMALE,9.04218,-26.15775,
PAL0809,100,Adelie Penguin,Anvers,Dream,"Adult, 1 Egg Stage",N50A2,Yes,11/10/08,43.2,18.5,192.0,4100.0,MALE,8.97025,-26.03679,
PAL0910,101,Adelie Penguin,Anvers,Biscoe,"Adult, 1 Egg Stage",N47A1,Yes,11/9/09,35.0,17.9,192.0,3725.0,FEMALE,8.844510000000001,-26.28055,
PAL0910,102,Adelie Penguin,Anvers,Biscoe,"Adult, 1 Egg Stage",N47A2,Yes,11/9/09,41.0,20.0,203.0,4725.0,MALE,9.01079,-26.38085,
PAL0910,103,Adelie Penguin,Anvers,Biscoe,"Adult, 1 Egg Stage",N49A1,Yes,11/15/09,37.7,16.0,183.0,3075.0,FEMALE,9.2151,-26.2253,
PAL0910,104,Adelie Penguin,Anvers,Biscoe,"Adult, 1 Egg Stage",N49A2,Yes,11/15/09,37.8,20.0,190.0,4250.0,MALE,9.51929,-25.69199,
PAL0910,105,Adelie Penguin,Anvers,Biscoe,"Adult, 1 Egg Stage",N51A1,Yes,11/15/09,37.9,18.6,193.0,2925.0,FEMALE,9.02642,-25.86482,
PAL0910,106,Adelie Penguin,Anvers,Biscoe,"Adult, 1 Egg Stage",N51A2,Yes,11/15/09,39.7,18.9,184.0,3550.0,MALE,8.85699,-25.80208,
PAL0910,107,Adelie Penguin,Anvers,Biscoe,"Adult, 1 Egg Stage",N53A1,Yes,11/15/09,38.6,17.2,199.0,3750.0,FEMALE,8.77322,-26.489729999999998,
PAL0910,108,Adelie Penguin,Anvers,Biscoe,"Adult, 1 Egg Stage",N53A2,Yes,11/15/09,38.2,20.0,190.0,3900.0,MALE,9.59245,-25.70711,
PAL0910,109,Adelie Penguin,Anvers,Biscoe,"Adult, 1 Egg Stage",N55A1,Yes,11/20/09,38.1,17.0,181.0,3175.0,FEMALE,9.79532,-25.27385,
PAL0910,110,Adelie Penguin,Anvers,Biscoe,"Adult, 1 Egg Stage",N55A2,Yes,11/20/09,43.2,19.0,197.0,4775.0,MALE,9.31735,-25.451710000000002,
PAL0910,111,Adelie Penguin,Anvers,Biscoe,"Adult, 1 Egg Stage",N58A1,Yes,11/12/09,38.1,16.5,198.0,3825.0,FEMALE,8.43951,-26.57563,
PAL0910,112,Adelie Penguin,Anvers,Biscoe,"Adult, 1 Egg Stage",N58A2,Yes,11/12/09,45.6,20.3,191.0,4600.0,MALE,8.65466,-26.32909,
PAL0910,113,Adelie Penguin,Anvers,Biscoe,"Adult, 1 Egg Stage",N60A1,Yes,11/15/09,39.7,17.7,193.0,3200.0,FEMALE,9.02657,-26.06203,
PAL0910,114,Adelie Penguin,Anvers,Biscoe,"Adult, 1 Egg Stage",N60A2,Yes,11/15/09,42.2,19.5,197.0,4275.0,MALE,8.801860000000001,-26.41218,
PAL0910,115,Adelie Penguin,Anvers,Biscoe,"Adult, 1 Egg Stage",N61A1,Yes,11/17/09,39.6,20.7,191.0,3900.0,FEMALE,8.80967,-26.789579999999997,
PAL0910,116,Adelie Penguin,Anvers,Biscoe,"Adult, 1 Egg Stage",N61A2,Yes,11/17/09,42.7,18.3,196.0,4075.0,MALE,8.91434,-26.42018,
PAL0910,117,Adelie Penguin,Anvers,Torgersen,"Adult, 1 Egg Stage",N63A1,Yes,11/18/09,38.6,17.0,188.0,2900.0,FEMALE,9.18021,-25.77264,
PAL0910,118,Adelie Penguin,Anvers,Torgersen,"Adult, 1 Egg Stage",N63A2,Yes,11/18/09,37.3,20.5,199.0,3775.0,MALE,9.49645,-26.36678,
PAL0910,119,Adelie Penguin,Anvers,Torgersen,"Adult, 1 Egg Stage",N64A1,Yes,11/22/09,35.7,17.0,189.0,3350.0,FEMALE,8.964360000000001,-23.90309,
PAL0910,120,Adelie Penguin,Anvers,Torgersen,"Adult, 1 Egg Stage",N64A2,Yes,11/22/09,41.1,18.6,189.0,3325.0,MALE,9.32277,-26.09989,
PAL0910,121,Adelie Penguin,Anvers,Torgersen,"Adult, 1 Egg Stage",N66A1,No,11/17/09,36.2,17.2,187.0,3150.0,FEMALE,9.04296,-26.19444,Nest never observed with full clutch.
PAL0910,122,Adelie Penguin,Anvers,Torgersen,"Adult, 1 Egg Stage",N66A2,No,11/17/09,37.7,19.8,198.0,3500.0,MALE,9.110660000000001,-26.425629999999998,Nest never observed with full clutch.
PAL0910,123,Adelie Penguin,Anvers,Torgersen,"Adult, 1 Egg Stage",N67A1,Yes,11/16/09,40.2,17.0,176.0,3450.0,FEMALE,9.30722,-25.61039,
PAL0910,124,Adelie Penguin,Anvers,Torgersen,"Adult, 1 Egg Stage",N67A2,Yes,11/16/09,41.4,18.5,202.0,3875.0,MALE,9.594619999999999,-25.42621,
PAL0910,125,Adelie Penguin,Anvers,Torgersen,"Adult, 1 Egg Stage",N69A1,Yes,11/18/09,35.2,15.9,186.0,3050.0,FEMALE,8.81668,-25.95399,
PAL0910,126,Adelie Penguin,Anvers,Torgersen,"Adult, 1 Egg Stage",N69A2,Yes,11/18/09,40.6,19.0,199.0,4000.0,MALE,9.22537,-25.60826,
PAL0910,127,Adelie Penguin,Anvers,Torgersen,"Adult, 1 Egg Stage",N71A1,Yes,11/21/09,38.8,17.6,191.0,3275.0,FEMALE,8.880980000000001,-25.89741,
PAL0910,128,Adelie Penguin,Anvers,Torgersen,"Adult, 1 Egg Stage",N71A2,Yes,11/21/09,41.5,18.3,195.0,4300.0,MALE,8.52566,-26.0245,
PAL0910,129,Adelie Penguin,Anvers,Torgersen,"Adult, 1 Egg Stage",N72A1,Yes,11/18/09,39.0,17.1,191.0,3050.0,FEMALE,9.19031,-25.73722,
PAL0910,130,Adelie Penguin,Anvers,Torgersen,"Adult, 1 Egg Stage",N72A2,Yes,11/18/09,44.1,18.0,210.0,4000.0,MALE,9.10702,-26.01363,
PAL0910,131,Adelie Penguin,Anvers,Torgersen,"Adult, 1 Egg Stage",N73A1,No,11/23/09,38.5,17.9,190.0,3325.0,FEMALE,8.9846,-25.57956,Nest never observed with full clutch.
PAL0910,132,Adelie Penguin,Anvers,Torgersen,"Adult, 1 Egg Stage",N73A2,No,11/23/09,43.1,19.2,197.0,3500.0,MALE,8.86495,-26.1396,Nest never observed with full clutch.
PAL0910,133,Adelie Penguin,Anvers,Dream,"Adult, 1 Egg Stage",N76A1,Yes,11/10/09,36.8,18.5,193.0,3500.0,FEMALE,8.98705,-25.57647,
PAL0910,134,Adelie Penguin,Anvers,Dream,"Adult, 1 Egg Stage",N76A2,Yes,11/10/09,37.5,18.5,199.0,4475.0,MALE,8.56708,-26.49288,
PAL0910,135,Adelie Penguin,Anvers,Dream,"Adult, 1 Egg Stage",N77A1,Yes,11/13/09,38.1,17.6,187.0,3425.0,FEMALE,8.717,-25.779510000000002,
PAL0910,136,Adelie Penguin,Anvers,Dream,"Adult, 1 Egg Stage",N77A2,Yes,11/13/09,41.1,17.5,190.0,3900.0,MALE,8.94365,-26.06943,
PAL0910,137,Adelie Penguin,Anvers,Dream,"Adult, 1 Egg Stage",N78A1,Yes,11/16/09,35.6,17.5,191.0,3175.0,FEMALE,8.759839999999999,-25.976960000000002,
PAL0910,138,Adelie Penguin,Anvers,Dream,"Adult, 1 Egg Stage",N78A2,Yes,11/16/09,40.2,20.1,200.0,3975.0,MALE,8.95998,-26.326009999999997,
PAL0910,139,Adelie Penguin,Anvers,Dream,"Adult, 1 Egg Stage",N79A1,No,11/16/09,37.0,16.5,185.0,3400.0,FEMALE,8.61651,-26.07021,Nest never observed with full clutch.
PAL0910,140,Adelie Penguin,Anvers,Dream,"Adult, 1 Egg Stage",N79A2,No,11/16/09,39.7,17.9,193.0,4250.0,MALE,9.25769,-25.88798,Nest never observed with full clutch.
PAL0910,141,Adelie Penguin,Anvers,Dream,"Adult, 1 Egg Stage",N80A1,Yes,11/14/09,40.2,17.1,193.0,3400.0,FEMALE,9.2881,-25.54976,
PAL0910,142,Adelie Penguin,Anvers,Dream,"Adult, 1 Egg Stage",N80A2,Yes,11/14/09,40.6,17.2,187.0,3475.0,MALE,9.23408,-26.01549,
PAL0910,143,Adelie Penguin,Anvers,Dream,"Adult, 1 Egg Stage",N81A1,Yes,11/16/09,32.1,15.5,188.0,3050.0,FEMALE,8.79787,-26.61075,
PAL0910,144,Adelie Penguin,Anvers,Dream,"Adult, 1 Egg Stage",N81A2,Yes,11/16/09,40.7,17.0,190.0,3725.0,MALE,9.05674,-25.795289999999998,
PAL0910,145,Adelie Penguin,Anvers,Dream,"Adult, 1 Egg Stage",N82A1,Yes,11/16/09,37.3,16.8,192.0,3000.0,FEMALE,9.06829,-25.85203,
PAL0910,146,Adelie Penguin,Anvers,Dream,"Adult, 1 Egg Stage",N82A2,Yes,11/16/09,39.0,18.7,185.0,3650.0,MALE,9.22033,-26.03442,
PAL0910,147,Adelie Penguin,Anvers,Dream,"Adult, 1 Egg Stage",N83A1,Yes,11/13/09,39.2,18.6,190.0,4250.0,MALE,9.11006,-25.79549,
PAL0910,148,Adelie Penguin,Anvers,Dream,"Adult, 1 Egg Stage",N83A2,Yes,11/13/09,36.6,18.4,184.0,3475.0,FEMALE,8.687439999999999,-25.8306,
PAL0910,149,Adelie Penguin,Anvers,Dream,"Adult, 1 Egg Stage",N84A1,Yes,11/17/09,36.0,17.8,195.0,3450.0,FEMALE,8.94332,-25.79189,
PAL0910,150,Adelie Penguin,Anvers,Dream,"Adult, 1 Egg Stage",N84A2,Yes,11/17/09,37.8,18.1,193.0,3750.0,MALE,8.97533,-26.03495,
PAL0910,151,Adelie Penguin,Anvers,Dream,"Adult, 1 Egg Stage",N85A1,Yes,11/17/09,36.0,17.1,187.0,3700.0,FEMALE,8.93465,-26.07081,
PAL0910,152,Adelie Penguin,Anvers,Dream,"Adult, 1 Egg Stage",N85A2,Yes,11/17/09,41.5,18.5,201.0,4000.0,MALE,8.8964,-26.069670000000002,
PAL0708,1,Chinstrap penguin,Anvers,Dream,"Adult, 1 Egg Stage",N61A1,No,11/19/07,46.5,17.9,192.0,3500.0,FEMALE,9.03935,-24.30229,
